league_url,league_country,league_level,league_name_tm
https://www.transfermarkt.com/kolmonen-helsinki-gruppe-2/startseite/wettbewerb/KOG2,Finland,Fifth Tier,Kolmonen Etelä Group B 2026
https://www.transfermarkt.com/championnat-national-3-nouvelle-aquitaine/startseite/wettbewerb/C3NA,France,Fifth Tier,Championnat National 3
https://www.transfermarkt.com/2-division-b/startseite/wettbewerb/2DVB,Russia,Fourth Tier,2. Division B 2026
https://www.transfermarkt.com/campionato-primavera-girone-a/startseite/wettbewerb/ITJ1,Italy,,Campionato Primavera Girone A 16/17
https://www.transfermarkt.com/primavera-1/startseite/wettbewerb/IJ1,Italy,,Primavera 1 25/26
https://www.transfermarkt.com/canadian-premier-league/startseite/wettbewerb/CDN1,Canada,First Tier,Canadian Premier League 2026
https://www.transfermarkt.com/primavera-2b/startseite/wettbewerb/IJ2B,Italy,,Primavera 2
https://www.transfermarkt.com/gibraltar-national-league/startseite/wettbewerb/GI1,Gibraltar,First Tier,Gibraltar Football League 25/26
https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/KAS1,Kazakhstan,First Tier,Premier Liga 2026
https://www.transfermarkt.com/liga-de-expansion-mx-apertura/startseite/wettbewerb/MEXB,Mexico,Second Tier,Liga de Expansión MX Apertura 25/26
https://www.transfermarkt.com/campeonato-goiano/startseite/wettbewerb/BRGO,Brazil,,Campeonato Goiano 2026
https://www.transfermarkt.com/china-league-two-b/startseite/wettbewerb/CL3S,China,Third Tier,China League Two B 2026
https://www.transfermarkt.com/russian-pfl-gruppe-1/startseite/wettbewerb/RPLS,Russia,Third Tier,Second League Division B Gruppe 1 (
https://www.transfermarkt.com/campionato-primavera-girone-b/startseite/wettbewerb/ITJ2,Italy,,Campionato Primavera Girone B 16/17
https://www.transfermarkt.com/liga-2/startseite/wettbewerb/PER2,Peru,Second Tier,Liga 2 2026
https://www.transfermarkt.com/serie-d-girone-f/startseite/wettbewerb/IT4F,Italy,Fourth Tier,Serie D
https://www.transfermarkt.com/championnat-national-3-hauts-de-france/startseite/wettbewerb/C3HF,France,Fifth Tier,Championnat National 3
https://www.transfermarkt.com/division-intermedia/startseite/wettbewerb/PAR2,Paraguay,Second Tier,División Intermedia 2026
https://www.transfermarkt.com/oberliga-baden-wurttemberg/startseite/wettbewerb/OBLB,Germany,Fifth Tier,Oberliga Baden
https://www.transfermarkt.com/segunda-division-de-venezuela-apertura/startseite/wettbewerb/VN2A,Venezuela,Second Tier,Liga FUTVE 2 2026
https://www.transfermarkt.com/primera-b-apertura/startseite/wettbewerb/CHL2,Chile,Second Tier,Primera B Apertura (
https://www.transfermarkt.com/torneo-federal-a/startseite/wettbewerb/ARG3,Argentina,Third Tier,Torneo Federal A 2026
https://www.transfermarkt.com/serie-d-girone-h/startseite/wettbewerb/IT4H,Italy,Fourth Tier,Serie D
https://www.transfermarkt.com/national-premier-league-victoria/startseite/wettbewerb/A2VI,Australia,Second Tier,National Premier League
https://www.transfermarkt.com/championnat-national-u19-groupe-c/startseite/wettbewerb/F19C,France,,Championnat National U19
https://www.transfermarkt.mx/segunda-division-b-grupo-ii-bis-20-21-/startseite/wettbewerb/ES3B,España,,Segunda División B
https://www.transfermarkt.es/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,España,,Primera Federación
https://www.transfermarkt.com/prva-liga-srbije/startseite/wettbewerb/SER2,Serbia,Second Tier,Prva liga Srbije 25/26
https://www.transfermarkt.com/championnat-national-3-bretagne/startseite/wettbewerb/C3BR,France,Fifth Tier,Championnat National 3
https://www.transfermarkt.mx/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,México,,Liga de Expansión MX Clausura 25/26
https://www.transfermarkt.ro/liga-2/startseite/wettbewerb/RO2,România,,Liga 2 25/26
https://www.transfermarkt.mx/chinese-super-league/startseite/wettbewerb/CSL,China,,Chinese Super League 2026
https://www.transfermarkt.com/2-division-hauptrunde/startseite/wettbewerb/DK3O,Denmark,Third Tier,2.Division 25/26
https://www.transfermarkt.com/u21-divisie-1-herbst/startseite/wettbewerb/211F,Netherlands,,U21 Division 1 Fall 25/26
https://www.transfermarkt.com/premijer-liga/startseite/wettbewerb/BOS1,Bosnia-Herzegovina,First Tier,Premijer Liga Bosne i Hercegovine 25/26
https://www.transfermarkt.mx/china-league-one/startseite/wettbewerb/CLO,China,,China League One 2026
https://www.transfermarkt.com/ykkonen-2024-/startseite/wettbewerb/FIYK,Finland,Third Tier,Ykkönen 2026
https://www.transfermarkt.com/absa-premiership-promotion-relegation-playoff/startseite/wettbewerb/SFAR,South Africa,,PSL Promotion
