"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id","player_name.x.x","transfermarkt_url.x","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","player_url.x","status.x","player_slug","home_name","dob_age.x","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","player_name","player_url.y","status.y","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","transfermarkt_url.y","explanation"
225,"Vince Grella","au AUS","MF","Blackburn",30,1979,5,4,309,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6021,"Vince Grella","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","22/11/1998","19 years 01 month 17 days","19","Serie A","27/02/2000","20","20","Serie B","19","first scrap players","Vince Grella","https://www.transfermarkt.com/vincenzo-grella/profil/spieler/6021","Success","spieler","Vincenzo Grella","05/10/1979 (46)","Melbourne","1,83 m","Australia  Italy","Midfield - Central Midfield","both","Not found","Melbourne Heart","28/01/2013","-","Not found",4,336,62,"Yes","28/01/2013","Not found",2,"players corrected transfer

","Vince Grella","https://fbref.com/en/players/db61f587/Vince-Grella","Success","Not found","5-Oct-79","Not found","180","Australia","MF (DM)","Not found","1998-1999","18 years","Empoli","1998","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","first scrap players fbref"
225,"Vince Grella","au AUS","MF","Blackburn",30,1979,5,4,309,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6021,"Vince Grella","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","22/11/1998","19 years 01 month 17 days","19","Serie A","27/02/2000","20","20","Serie B","19","first scrap players","Vince Grella","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","Success","spieler","Vincenzo Grella","05/10/1979 (46)","Melbourne","1,83 m","Australia  Italy","Midfield - Central Midfield","both","Not found","Melbourne Heart","28/01/2013","-","Not found",4,336,62,"Yes","28/01/2013","Not found",2,"first scrap players transfer","Vince Grella","https://fbref.com/en/players/db61f587/Vince-Grella","Success","Not found","5-Oct-79","Not found","180","Australia","MF (DM)","Not found","1998-1999","18 years","Empoli","1998","https://www.transfermarkt.com/vince-grella/profil/spieler/6021","first scrap players fbref"
226,"Adlène Guedioura","dz ALG","MF","Wolves",24,1985,10,4,368,4.1,1,1,2,1,0,0,2,0,0.24,0.24,0.49,0.24,0.49,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74768,"Adlène Guedioura","https://www.transfermarkt.com/adlne-guedioura/profil/spieler/74768","16/08/2008","22 years 09 months 04 days","22","Jupiler Pro League","31/01/2012","26","26","Championship","22","first scrap players","Adlène Guedioura","https://www.transfermarkt.com/adlne-guedioura/profil/spieler/74768","Success","spieler","Adlène Guédioura","12/11/1985 (40)","La Roche-sur-Yon","1,78 m","Algeria  France","Midfield - Defensive Midfield","right","Not found","CR Belouizdad","11/3/2024","-","Not found",9,634,93,"Yes","11/3/2024","Not found",7,"first scrap players transfer","Adlène Guedioura","https://fbref.com/en/players/f75825e3/Adlene-Guedioura","Success","Not found","12-Nov-85","Not found","183","Algeria dz  Other: France","MF (CM)","Both","2008-2009","22 years","Kortrijk","2008","https://www.transfermarkt.com/adlne-guedioura/profil/spieler/74768","first scrap players fbref"
227,"Magaye Gueye","fr FRA","FW,MF","Everton",20,1990,5,2,191,2.1,0,1,1,0,0,0,0,0,0,0.47,0.47,0,0.47,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91956,"Magaye Gueye","https://www.transfermarkt.com/magaye-gueye/profil/spieler/91956","2/4/2011","20 years 08 months 27 days","20","Premier League","3/11/2008","18","18","Ligue 2","18","first scrap players","Magaye Gueye","https://www.transfermarkt.com/magaye-gueye/profil/spieler/91956","Success","spieler","Magaye Gueye","06/07/1990 (35)","Nogent-sur-Marne","1,83 m","Senegal  France","Attack - Centre-Forward","left","Not found","CS Paulesti","13/09/2025","-","Nike",1,179,38,"No","Not found","Not found",1,"first scrap players transfer","Magaye Gueye","https://fbref.com/en/players/82b85f5a/Magaye-Gueye","Success","Not found","6-Jul-90","Not found","179","France fr  Other: Senegal","FW-MF (WM)","Left","2009-2010","19 years","Strasbourg","2009","https://www.transfermarkt.com/magaye-gueye/profil/spieler/91956","first scrap players fbref"
228,"Danny Guthrie","eng ENG","MF","Newcastle Utd",23,1987,14,11,949,10.5,0,1,1,0,0,0,3,0,0,0.09,0.09,0,0.09,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16716,"Danny Guthrie","https://www.transfermarkt.com/danny-guthrie/profil/spieler/16716","29/11/2006","19 years 07 months 11 days","19","Premier League","5/3/2007","19","19","Championship","19","first scrap players","Danny Guthrie","https://www.transfermarkt.com/danny-guthrie/profil/spieler/16716","Success","spieler","Danny Guthrie","18/04/1987 (38)","Shrewsbury","1,76 m","England","Midfield - Central Midfield","right","Not found","Fram Reykjavík","1/1/2022","-","Not found",1,26,3,"Yes","1/1/2022","Not found",1,"first scrap players transfer","Danny Guthrie","https://fbref.com/en/players/fff10a46/Danny-Guthrie","Success","Not found","18-Apr-87","Not found","170","England eng","MF (CM-WM)","Right","2006-2007","19 years","Southampton","2006","https://www.transfermarkt.com/danny-guthrie/profil/spieler/16716","first scrap players fbref"
229,"Jonás Gutiérrez","ar ARG","MF","Newcastle Utd",27,1983,37,34,2973,33,3,4,7,3,0,0,5,0,0.09,0.12,0.21,0.09,0.21,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26443,"Jonás Gutiérrez","https://www.transfermarkt.com/jons-gutirrez/profil/spieler/26443","16/03/2002","18 years 08 months 11 days","18","Torneo Final","8/8/2009","26","26","Championship","18","first scrap players","Jonás Gutiérrez","https://www.transfermarkt.com/jons-gutirrez/profil/spieler/26443","Success","spieler","Jonás Gutiérrez","05/07/1983 (42)","Sáenz Peña","1,84 m","Argentina  Italy","Midfield - Left Midfield","right","Not found","Almagro","16/11/2021","-","adidas",5,291,52,"Yes","16/11/2021","Not found",4,"first scrap players transfer","Jonás Gutiérrez","https://fbref.com/en/players/816fd91c/Jonas-Gutierrez","Success","Not found","5-Jul-83","Not found","185","Argentina","MF (WM)","Right","2005-2006","22 years","Mallorca","2005","https://www.transfermarkt.com/jons-gutirrez/profil/spieler/26443","first scrap players fbref"
230,"Eiður Guðjohnsen","is ISL","FW,MF","Stoke City",31,1978,4,0,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3176,"Eiður Guðjohnsen","https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176","23/05/1994","15 years 08 months 08 days","15","","12/9/1998","19","19","","15","first scrap players","Eiður Guðjohnsen","https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176","Success","spieler","Eidur Gudjohnsen","15/09/1978 (47)","Reykjavík","N/A","Iceland","Attack - Centre-Forward","N/A","Not found","Pune City","10/9/2017","-","Not found",3,253,47,"Yes","10/9/2017","Not found",3,"first scrap players transfer","Eiður Guðjohnsen","https://fbref.com/en/players/32fc9ff2/Eidur-Gudjohnsen","Success","Not found","15-Sep-78","Not found","187","Iceland","FW-MF (AM)","Right","2000-2001","21 years","Chelsea","2000","https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176","first scrap players fbref"
231,"Eiður Guðjohnsen","is ISL","FW,MF","Fulham",31,1978,10,4,412,4.6,0,1,1,0,0,0,1,0,0,0.22,0.22,0,0.22,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3176,"Eiður Guðjohnsen","https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176","23/05/1994","15 years 08 months 08 days","15","","12/9/1998","19","19","","15","first scrap players","Eiður Guðjohnsen","https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176","Success","spieler","Eidur Gudjohnsen","15/09/1978 (47)","Reykjavík","N/A","Iceland","Attack - Centre-Forward","N/A","Not found","Pune City","10/9/2017","-","Not found",3,253,47,"Yes","10/9/2017","Not found",3,"first scrap players transfer","Eiður Guðjohnsen","https://fbref.com/en/players/32fc9ff2/Eidur-Gudjohnsen","Success","Not found","15-Sep-78","Not found","187","Iceland","FW-MF (AM)","Right","2000-2001","21 years","Chelsea","2000","https://www.transfermarkt.com/eiur-gujohnsen/profil/spieler/3176","first scrap players fbref"
232,"Asamoah Gyan","gh GHA","FW","Sunderland",24,1985,31,20,2005,22.3,10,4,14,10,0,0,0,0,0.45,0.18,0.63,0.45,0.63,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26802,"Asamoah Gyan","https://www.transfermarkt.com/asamoah-gyan/profil/spieler/26802","16/05/2004","18 years 05 months 24 days","18","Serie A","25/09/2004","18","18","Serie B","18","first scrap players","Asamoah Gyan","https://www.transfermarkt.com/asamoah-gyan/profil/spieler/26802","Success","spieler","Asamoah Gyan","22/11/1985 (40)","Accra","1,80 m","Ghana","Attack - Centre-Forward","right","Not found","Legon Cities FC","1/7/2022","-","Not found",16,339,45,"Yes","1/7/2022","Not found",5,"first scrap players transfer","Asamoah Gyan","https://fbref.com/en/players/7f7bbbc2/Asamoah-Gyan","Success","Not found","22-Nov-85","Not found","180","Ghana","FW","Right","2003-2004","17 years","Udinese","2003","https://www.transfermarkt.com/asamoah-gyan/profil/spieler/26802","first scrap players fbref"
233,"Ali Al-Habsi","om OMA","GK","Wigan Athletic",28,1981,34,34,3060,34,0,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26633,"Ali Al-Habsi","https://www.transfermarkt.com/ali-al-habsi/profil/spieler/26633","29/05/2003","21 years 04 months 29 days","21","Eliteserien","21/12/2013","31","31","Championship","21","first scrap players","Ali Al-Habsi","https://www.transfermarkt.com/ali-al-habsi/profil/spieler/26633","Success","spieler","Ali Al-Habsi","30/12/1981 (43)","Muscat","1,94 m","Oman","Goalkeeper","right","Not found","West Brom","21/08/2020","-","Not found",1,27,9,"Yes","21/08/2020","Not found",1,"first scrap players transfer","Ali Al-Habsi","https://fbref.com/en/players/032f766b/Ali-Al-Habsi","Success","Not found","30-Dec-81","Not found","194","Oman","GK","Right","2003","21 years","Lyn","Not found","https://www.transfermarkt.com/ali-al-habsi/profil/spieler/26633","first scrap players fbref"
234,"El Hadji Diouf","sn SEN","FW,MF","Blackburn",29,1981,20,18,1558,17.3,0,3,3,0,0,0,4,0,0,0.17,0.17,0,0.17,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3604,"El Hadji Diouf","https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604","11/11/1998","17 years 09 months 27 days","17","Ligue 1","1/11/2011","30 years 09 months 17 days","30","Championship","17","players corrected","El Hadji Diouf","https://www.transfermarkt.com/el-hadji-diouf/profil/spieler/3604","Success","spieler","El-Hadji Diouf","15/01/1981 (44)","Saint-Louis","1,80 m","Senegal  France","Attack - Centre-Forward","right","Not found","Sabah FA","1/1/2016","-","Not found",2,28,6,"Yes","1/1/2016","Not found",2,"players corrected transfer

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,"Marcus Hahnemann","us USA","GK","Wolves",38,1972,14,14,1260,14,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4140,"Marcus Hahnemann","https://www.transfermarkt.com/marcus-hahnemann/profil/spieler/4140","20/04/1997","24 years 10 months 05 days","24","Major League Soccer","16/04/2001","28","28","","24","first scrap players","Marcus Hahnemann","https://www.transfermarkt.com/marcus-hahnemann/profil/spieler/4140","Success","spieler","Marcus Hahnemann","15/06/1972 (53)","Seattle, Washington","1,87 m","United States  Germany","Goalkeeper","right","Not found","Seattle","8/12/2014","-","Not found",1,26,4,"Yes","8/12/2014","Not found",1,"first scrap players transfer","Marcus Hahnemann","https://fbref.com/en/players/c6be3102/Marcus-Hahnemann","Success","Not found","15-Jun-72","Not found","191","United States","GK","Not found","1997","24 years","Colorado Rapids","Not found","https://www.transfermarkt.com/marcus-hahnemann/profil/spieler/4140","first scrap players fbref"
236,"Greg Halford","eng ENG","DF,FW","Wolves",25,1984,2,0,24,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42062,"Greg Halford","https://www.transfermarkt.com/greg-halford/profil/spieler/42062","17/03/2007","22 years 03 months 09 days","22","Premier League","5/8/2006","21","21","Championship","21","first scrap players","Greg Halford","https://www.transfermarkt.com/greg-halford/profil/spieler/42062","Success","spieler","Greg Halford","08/12/1984 (40)","Chelmsford","1,93 m","England","Defender - Centre-Back","right","Not found","Blyth Spartans","1/7/2025","-","Not found",1,34,6,"Yes","1/7/2025","Not found",1,"first scrap players transfer","Greg Halford","https://fbref.com/en/players/06d45e81/Greg-Halford","Success","Not found","8-Dec-84","Not found","196","England eng","DF-FW-MF (CM-FB)","Right","2002-2003","17 years","Colchester Utd","2002","https://www.transfermarkt.com/greg-halford/profil/spieler/42062","first scrap players fbref"
237,"Rafik Halliche","dz ALG","DF","Fulham",23,1986,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67815,"Rafik Halliche","https://www.transfermarkt.com/rafik-halliche/profil/spieler/67815","30/01/2006","19 years 04 months 28 days","19","Ligue Professionnelle 1","No second tier career","No second tier career","No second tier career","No second tier career","19","first scrap players","Rafik Halliche","https://www.transfermarkt.com/rafik-halliche/profil/spieler/67815","Success","spieler","Rafik Halliche","02/09/1986 (39)","Algier","1,87 m","Algeria","Defender - Centre-Back","right","Not found","Moreirense","3/8/2020","-","Not found",7,378,45,"Yes","3/8/2020","Not found",6,"first scrap players transfer","Rafik Halliche","https://fbref.com/en/players/ecb2f4e3/Rafik-Halliche","Success","Not found","2-Sep-86","Not found","187","Algeria","DF (CB)","Right","2007-2008","20 years","Nacional","2007","https://www.transfermarkt.com/rafik-halliche/profil/spieler/67815","first scrap players fbref"
238,"Mark Halstead","eng ENG","GK","Blackpool",19,1990,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99972,"Mark Halstead","https://www.transfermarkt.com/mark-halstead/profil/spieler/99972","7/3/2011","20 years 05 months 18 days","20","Premier League","2/2/2013","22","22","Championship","20","first scrap players","Mark Halstead","https://www.transfermarkt.com/mark-halstead/profil/spieler/99972","Success","spieler","Mark Halstead","17/09/1990 (35)","Blackpool","1,90 m","England","Goalkeeper","right","Not found","Radcliffe","11/7/2025","30/06/2026","Not found",0,0,0,"No","Not found","21",0,"first scrap players transfer","Mark Halstead","https://fbref.com/en/players/ff36c850/Mark-Halstead","Success","Not found","17-Sep-90","Not found","190","Not found","GK","Right","2010-2011","19 years","Kettering Town","2010","https://www.transfermarkt.com/mark-halstead/profil/spieler/99972","first scrap players fbref"
239,"Adam Hammill","eng ENG","FW,MF","Wolves",22,1988,10,7,536,6,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38091,"Adam Hammill","https://www.transfermarkt.com/adam-hammill/profil/spieler/38091","21/01/2007","18 years 11 months 27 days","18","Scottish Premiership","11/8/2007","19","19","Championship","18","first scrap players","Adam Hammill","https://www.transfermarkt.com/adam-hammill/profil/spieler/38091","Success","spieler","Adam Hammill","25/01/1988 (37)","Liverpool","1,80 m","England  Ireland","Attack - Right Winger","left","Not found","Litherland","29/01/2025","-","Not found",0,0,0,"No","Not found","Not found",0,"first scrap players transfer","Adam Hammill","https://fbref.com/en/players/ffd4896e/Adam-Hammill","Success","Not found","25-Jan-88","Not found","189","England eng","FW-MF (WM)","Left","2006-2007","18 years","Dunfermline Ath.","2006","https://www.transfermarkt.com/adam-hammill/profil/spieler/38091","first scrap players fbref"
240,"Brede Hangeland","no NOR","DF","Fulham",29,1981,37,37,3330,37,6,1,7,6,0,0,6,0,0.16,0.03,0.19,0.16,0.19,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25553,"Brede Hangeland","https://www.transfermarkt.com/brede-hangeland/profil/spieler/25553","16/04/2001","19 years 09 months 27 days","19","Eliteserien","No second tier career","No second tier career","No second tier career","No second tier career","19","first scrap players","Brede Hangeland","https://www.transfermarkt.com/brede-hangeland/profil/spieler/25553","Success","spieler","Brede Hangeland","20/06/1981 (44)","Houston","1,99 m","Norway  United States","Defender - Centre-Back","right","Not found","Crystal Palace","5/8/2016","-","Not found",4,156,29,"Yes","5/8/2016","Not found",3,"first scrap players transfer","Brede Hangeland","https://fbref.com/en/players/7cbeb80c/Brede-Hangeland","Success","Not found","20-Jun-81","Not found","199","Norway no  Other: United States","DF (CB)","Right","2001","19 years","Viking","Not found","https://www.transfermarkt.com/brede-hangeland/profil/spieler/25553","first scrap players fbref"
241,"Grant Hanley","sct SCO","DF","Blackburn",18,1991,7,5,444,4.9,1,0,1,1,0,0,1,0,0.2,0,0.2,0.2,0.2,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121385,"Grant Hanley","https://www.transfermarkt.com/grant-hanley/profil/spieler/121385","9/5/2010","18 years 05 months 19 days","18","Premier League","1/9/2012","20","20","Championship","18","first scrap players","Grant Hanley","https://www.transfermarkt.com/grant-hanley/profil/spieler/121385","Success","spieler","Grant Hanley","20/11/1991 (34)","Dumfries","1,88 m","Scotland","Defender - Centre-Back","right","Not found","Hibernian FC","5/8/2025","31/05/2027","Not found",10,574,96,"No","Not found","4",4,"first scrap players transfer","Grant Hanley","https://fbref.com/en/players/e9254eec/Grant-Hanley","Success","Not found","November 20, 1991 (Age: 34-005d)","Dumfries, Scotland, United Kingdom","188","Scotland sct","DF (CB)","Right","2009-2010","17 years","Blackburn","2009","https://www.transfermarkt.com/grant-hanley/profil/spieler/121385","first scrap players fbref"
242,"Marlon Harewood","eng ENG","FW","Blackpool",30,1979,16,7,661,7.3,5,1,6,5,0,0,1,0,0.68,0.14,0.82,0.68,0.82,"Matches","2010-2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10011,"Marlon Harewood","https://www.transfermarkt.com/marlon-harewood/profil/spieler/10011","11/5/1998","18 years 08 months 16 days","18","Veikkausliiga","3/5/1998","18","18","","18","first scrap players","Marlon Harewood","https://www.transfermarkt.com/marlon-harewood/profil/spieler/10011","Success","spieler","Marlon Harewood","25/08/1979 (46)","London","1,85 m","England  Barbados","Attack - Centre-Forward","right","Not found","Nuneaton","1/7/2016","-","Not found",1,38,4,"Yes","1/7/2016","Not found",1,"first scrap players transfer","Marlon Harewood","https://fbref.com/en/players/34dab521/Marlon-Harewood","Success","Not found","25-Aug-79","Not found","185","Not found","FW","Not found","1998-1999","18 years","Nott'ham Forest","1998","https://www.transfermarkt.com/marlon-harewood/profil/spieler/10011","first scrap players fbref"
